Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime
pytorch_vgg19,130000,149,8,J65,JJ1,0,1409656.9251542862,0.0126159034768617,43269.3694076,7080016.061679999
pytorch_alexnet,130000,833,512,J11,JJ2,5653,407301.73025364405,0.004894678936809083,56396.9418628,327069.7952853333
tf_alexnet,130000,304,512,J107,JJ3,11308,277518.45046543394,0.010363662286531364,48565.48844480001,401382.9651648
pytorch_alexnet,130000,2943,256,J10,JJ4,16899,1226854.1331736355,0.014520754101177698,43210.50346134,1214781.5104128001
tf_alexnet,130000,296,256,J98,JJ5,22434,309855.8037188169,0.004599929199952936,52345.04360586666,426516.3039626667
pytorch_alexnet,130000,670,512,J23,JJ6,28085,505755.0134501896,0.009847487829061426,45257.09016366667,262976.3042666667
pytorch_resnet50,130000,257,64,J52,JJ7,33709,2403419.3428221615,0.012935874109603344,43306.7239238,1370149.778672
tf_alexnet,130000,475,1024,J92,JJ8,39284,923514.8671473012,0.014836053407612036,71843.8639525,598714.0318649999
pytorch_vgg19,130000,150,8,J80,JJ9,44972,3248546.162811252,0.009264179268881043,43232.47878500001,7131058.45
pytorch_vgg19,130000,150,8,J77,JJ10,50562,13010661.89413576,0.007324783300402106,43245.57034800001,7130917.428
pytorch_resnet50,130000,3713,32,J63,JJ11,56203,36844628.21247858,0.009176295009154227,43208.636603665,20333402.772182498
pytorch_vgg19,130000,224,16,J78,JJ12,61898,2346775.279498121,0.01391155603503447,43265.81622272,6314001.811712
pytorch_resnet50,130000,256,64,J40,JJ13,67561,2446369.1328835404,0.004213332034499695,43261.107072,1365253.422336
tf_alexnet,130000,446,1024,J96,JJ14,73256,852567.7719021849,0.007731717593238821,67447.8066806,562059.648888
tf_alexnet,130000,446,1024,J96,JJ15,78734,971963.1907281781,0.012348351959964407,67447.8066806,562059.648888
tf_resnet50,130000,133,64,J132,JJ16,84351,935306.9824605685,0.005272329060541063,88774.893998,560058.7045433333
