Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime
tf_alexnet,130000,370,1024,J108,JJ1,0,605848.0532564986,0.0030637362404594723,55949.580266000004,466232.23750800005
pytorch_alexnet,130000,2957,256,J22,JJ2,5612,981374.0213232762,0.013187672030786055,43214.05668984001,1220389.301204
pytorch_alexnet,130000,727,512,J15,JJ3,11189,76813.70802158254,0.009407939049846731,49163.85020354999,285399.39235125
tf_resnet50,130000,70,16,J138,JJ4,16753,200699.57978262997,0.011895314661942293,82866.188944,399430.21384
pytorch_resnet50,130000,257,64,J44,JJ5,22436,2318714.480627328,0.010801949336250873,43361.55585039999,1370343.8518793334
pytorch_resnet50,130000,257,64,J56,JJ6,28053,457473.1281358218,0.011199191116526733,43293.01593786667,1370101.26067
pytorch_alexnet,130000,1171,128,J29,JJ7,33687,593249.2458504806,0.005012283465076485,45776.328444125,530754.87789775
tf_alexnet,130000,291,128,J109,JJ8,39357,761964.4689877493,0.007281705541720509,61401.9214418,489513.49565100006
tf_resnet50,130000,77,64,J152,JJ9,44918,139211.94027032284,0.004157578159302431,51423.92842124999,323937.18588
pytorch_alexnet,130000,2957,256,J22,JJ10,50464,353339.90666416794,0.013260538108223047,43214.05668984001,1220389.301204
pytorch_alexnet,130000,972,1024,J4,JJ11,56019,763057.2808097866,0.009246723111036366,51759.161954639996,373270.5585648
pytorch_resnet50,130000,257,64,J60,JJ12,61687,2701118.4986780803,0.010098019265204646,43283.22451934286,1370066.6042199999
tf_vgg19,130000,7,8,J162,JJ13,67353,263431.5329212748,0.008343172268057824,43954.86382,577068.044
tf_resnet50,130000,126,32,J143,JJ14,73047,417273.4430244436,0.013895705919122581,105828.28641,590751.42966
tf_resnet50,130000,88,32,J139,JJ15,78616,160027.44641794253,0.0032622259723401378,73911.3896928,412606.66409599996
pytorch_resnet50,130000,38,8,J45,JJ16,84246,466955.2991090156,0.0066245104668987715,65387.795081,241321.66760000002
pytorch_resnet50,130000,67,16,J58,JJ17,89841,513564.23928813933,0.003039253489476416,83754.26811057143,386430.27850857144
tf_resnet50,130000,103,16,J134,JJ18,95472,1095417.1784864187,0.003430624018290849,121935.0316255,587735.186065
tf_vgg19,130000,7,8,J168,JJ19,101009,236076.09599901087,0.004614702510592418,43954.86729666667,577070.0002666668
tf_vgg19,130000,11,16,J157,JJ20,106603,361856.1756585305,0.008095849799214232,46791.794885,661074.2908
tf_vgg19,130000,14,32,J161,JJ21,112153,193223.67502494674,0.005156386559448352,45375.293516,684993.1074000001
tf_resnet50,130000,40,8,J145,JJ22,117736,492597.7876980322,0.0133063861552693,72835.66930285713,310264.3628571428
pytorch_alexnet,130000,1135,128,J5,JJ23,123438,745894.4023196686,0.010659923700114624,44407.2190639,514482.09644449997
tf_resnet50,130000,133,64,J132,JJ24,129023,750287.9974729676,0.009121717656831046,88774.893998,560058.7045433333
pytorch_vgg19,130000,8111,32,J82,JJ25,134718,52416150.28615332,0.01087835665590308,43200.50333454667,181844071.21601665
pytorch_resnet50,130000,3472,32,J47,JJ26,140419,23409325.21416216,0.003141391462999226,43206.4289692,19014756.502
tf_alexnet,130000,415,256,J118,JJ27,145976,312062.6740707084,0.010840672982360241,73386.63565975,597988.35285
tf_alexnet,130000,291,128,J109,JJ28,151724,904600.20368134,0.011941420427522241,61401.9214418,489513.49565100006
pytorch_alexnet,130000,1121,512,J31,JJ29,157307,238948.04216884542,0.005737005753760202,75677.6078328,439955.76567075006
pytorch_resnet50,130000,255,64,J36,JJ30,163115,1652312.1555175174,0.003384901221182319,43296.1379871,1360642.5119399999
pytorch_alexnet,130000,2943,256,J10,JJ31,168733,2320099.3864514083,0.014648361002350736,43210.50346134,1214781.5104128001
tf_vgg19,130000,11,16,J163,JJ32,174430,525768.7410375045,0.010773634824478667,46791.541808,661086.2346
tf_vgg19,130000,7,8,J153,JJ33,180211,1237942.3952972612,0.00834810251049465,43954.83267,577050.43578
tf_vgg19,130000,14,32,J176,JJ34,185810,1150679.0869220248,0.009243356427739685,45374.453635,685011.5464499999
pytorch_vgg19,130000,7098,32,J70,JJ35,191390,205403436.36823276,0.010774406717770873,43206.037843877995,159130241.65038
tf_vgg19,130000,14,32,J155,JJ36,196957,1082158.1635202654,0.00941036596232962,45377.981124000005,684934.103
pytorch_resnet50,130000,3073,32,J39,JJ37,202525,17255867.156070344,0.011608160518455451,43201.76592123,16831603.149178997
pytorch_alexnet,130000,669,512,J7,JJ38,208205,340027.6889751958,0.005740684927005394,45397.62243729,262769.6023074
pytorch_alexnet,130000,1121,512,J31,JJ39,213816,617640.2173049676,0.009410114554796609,75677.6078328,439955.76567075006
pytorch_resnet50,130000,63,16,J46,JJ40,219392,477640.52256251546,0.006856259327160033,78756.100416,363367.19223000004
pytorch_resnet50,130000,257,64,J64,JJ41,224940,1592837.7571370164,0.010241106085336057,43275.880955450004,1370040.612525
tf_vgg19,130000,11,16,J160,JJ42,230610,803842.7016632545,0.007930114605093094,46791.626163333334,661082.2534066667
tf_alexnet,130000,399,256,J106,JJ43,236238,1292269.492596333,0.006750820863617511,70558.14714648,574933.0453692001
tf_resnet50,130000,40,8,J145,JJ44,241944,683471.9648567284,0.01302875678803889,72835.66930285713,310264.3628571428
tf_resnet50,130000,49,16,J122,JJ45,247513,716777.6099128242,0.005957929079771139,58031.85897739999,279617.56792199996
pytorch_resnet50,130000,257,64,J60,JJ46,253199,2335755.061188928,0.004025535367187012,43283.22451934286,1370066.6042199999
tf_resnet50,130000,105,64,J136,JJ47,258711,475052.14890340617,0.009334920505526766,70100.68107,441983.97579
pytorch_vgg19,130000,150,8,J83,JJ48,264397,7553670.704503347,0.005469653709898946,43223.12768571429,7131159.175714285
tf_resnet50,130000,26,8,J129,JJ49,270028,463260.6095797218,0.008205102582221034,47347.15589066667,201657.64892
pytorch_resnet50,130000,257,64,J52,JJ50,275682,2421655.737520637,0.008043440492499866,43306.7239238,1370149.778672
